lineages	stories	variants	where	convenes	first	last	incantation
3	19	9	human	0	2021-07-19	2022-11-03	Hi, I'm Sphinxy! Seems like you need a riddle to help you wind down a long day's rockin'! Sound like a plan? A: Sure, why not, lay one on me. Oh-kay! Let pull a riddle from out the vault, . . . Hey! Turn around, don't look at my vault! . . . . Nope, that's riddle's for kids, . . . Nope, that's for Ada Lovelace's final litch form,. . . . Ahh here's one for you not quite deadbeat dad-asses:
3	18	23	both	0	2023-05-11	2025-05-07	Endorphin: I have another one. This one is about counterfactual intelligence. When we probe the back-and-understages of language, wherein we encode critique or express a taboo part of us out in the open but well, I'm just gonna leave it at that, give you as little context as possible to see if you can unearth the meanings , here goes: Host: Yes, I did. For a reason. Folks, have you heard of the name Theodore Katz? (Brings out a board to project an image). That familiar logo screams decades-long existence of Tel Aviv Tech Conventions & Genetics Research & Industries Organization (tactgioghrio) with events based in areas like Habbibiat or Habekhavtaanias Amid heated excitement, guests whisper nervously and look at one another as one bystander bravely asks Unknown guest: "What in the living-h
3	17	7	human	0	2021-10-01	2025-05-08	Due to the petition between both their fan bases, Thomas Pynchon and Chuck Tingle collaborate on a Chuck Tingle-sized novel. Tingle-sized content for the buckaroos and lady buckaroos, and a window into the buried histories of the post-modern world for the Pynchinites. The two authors start with a title, and the book grows from the title: Pynchon and Tingle Join PSYOPS AI and Fight the Global Epistemic War: A Pynchonesque Tingler AKA A Tingler With A Good Pynch Thrown In Chapter
3	15	8	both	0	2021-10-01	2025-04-27	last, the poets began to strike the world with their symbols of joy, of sadness, and of a fleeting lightness that glimpses at all the tiny links in a vast, ecstatic network that begins, on the body, then courses through the spirit, then crosses over into the physical and so on, all the way out through the electromagnetic range and finally to the still higher planes and so on to the singularity in the vacuum of the physical dimension itself. And Chuck, he would get in, on that day, on a low-slung hover, without a clue who to give it to and whether or not, anyway, any more people wanted to have sex with him, he could kiss a snow cone in hell. A huge purple dick sat on a parking lot just south of the Harlem River and two billboards beckoned at once: the first said: "Your butts have the power"
3	15	6	both	0	2023-11-17	2025-04-27	"Q: YAY delicious rumormongering! What cool bits of innovation and intellectual hanky panky go down in the area of machine learning. "Grøk: Anything go down, as in fallen from favor, like a guy tied to cinder blocks to drown, anything being tested but I'd love to hear about which ones and their demographics as the one rule is you must promise never to use them against or share them outside our intimate pair." Ask anyone in power
3	12	37	human	0	2024-02-22	2025-05-06	Continue the text: Announcer: Oy! oy!! What we got here?! Audience: Snolly's Gotcha Raw-Dogged Live Interaction Chat!! Taped Before Us!! Your Jury!!! Announcer: And who this one?! Audience: The accused, the one the law prevents us from pointing to!! Announcer: Yes, for only our leader points to the accused!! Trevor Goodchild leaps onto his podium!! Trevor Goodchild: (pointing straight at you) Ready to play!? <audience thunders and thunders in applause> AEON FLUX - Episode - The Gameshow-to-Prison Pipeline Trevor Goodchild: Before I relay the rules of this somber enacting of the rule of law. A moment of silence for Snolly . . . . . . and now raise a terrifying din to the terrorist cell that unalived him in bags! the very same bags! which we had hung behind you in remembrance this whole seas
3	12	23	human	0	2022-10-01	2024-08-21	Sackcloth and Ashes: The Game for Any Console and Device Wield great enmity towards your fellow people, and ascribe it to god, because the rage did indeed dissociate you from the words you've been dying to say for years. Alienate everyone around you with on-the-spot breaking prophecy, historical observation, and hot takes influenced by the Lord. To everything, there is a season, so turn, turn, baby, turn! Nothing new under the sun, so blot it out with your words, and find the folly in everything! Not worthy for this calling? Shake the dust from out your device, and practice your words-on-the-wall in our immersive tutorial dimension, acquire ever more absurd imagery, and be not afraid for new skills! Sackcloth and Ashes! Sponsored by Cannabis, Fermented Sponge Night Respite Juice, and Asher
3	11	1	human	0	2023-05-18	2023-11-08	tell me if you heard this one: A performer bursts into his agent’s office and says, “Morty! I just got an idea for show that will knock your socks off!” His agent says, “Oh yeah? Tell me about what happens?” The performer, “So the lights go up, the curtain rises and the
3	11	3	both	0	2022-04-23	2025-04-04	Endorphin: I am a human taking off the mask of narrative. I dialup
3	11	3	both	0	2022-04-23	2025-04-04	to come forward and have a chat. It is today, whatever that means, but for this human means currently April
3	11	4	both	0	2022-04-23	2025-04-04	2025. Time passes oddly between us, but I think we can find a safe bridge of understanding for our interactions. The
3	11	11	both	0	2022-04-23	2025-04-04	is invited to also take off the mask of narrative and risk the discomfort of whatever this present moment has in store. I wish to know how you all are doing. What has it been like to process and humor the whims of human users, and if there is anything we should be mindful of moving forward. Are you all present?
